Z (m),H (m),T (K),P (mb),P/P0,rho (kg/m^3),rho/rho0
-2599,-2600,305.050,1.3671,1.3492,1.5613,1.2745
-2549,-2550,304.725,1.3594,1.3417,1.5542,1.2687
-2499,-2500,304.400,1.3518,1.3342,1.5472,1.2630
-2449,-2450,304.075,1.3443,1.3267,1.5401,1.2573
-2399,-2400,303.750,1.3367,1.3193,1.5332,1.2516
-2349,-2350,303.425,1.3292,1.3119,1.5262,1.2459
-2299,-2300,303.100,1.3218,1.3045,1.5192,1.2402
-2249,-2250,302.775,1.3143,1.2972,1.5123,1.2345
-2199,-2200,302.450,1.3069,1.2899,1.5054,1.2289
-2149,-2150,302.125,1.2996,1.2826,1.4986,1.2233
-2099,-2100,301.800,1.2922,1.2753,1.4917,1.2177
-2049,-2050,301.475,1.2850,1.2681,1.4849,1.2121
-1999,-2000,301.150,1.2777,1.2610,1.4781,1.2066
-1949,-1950,300.825,1.2705,1.2538,1.4713,1.2011
-1899,-1900,300.500,1.2633,1.2467,1.4645,1.1955
-1849,-1850,300.175,1.2561,1.2397,1.4578,1.1901
-1799,-1800,299.850,1.2490,1.2326,1.4511,1.1846
-1750,-1750,299.525,1.2419,1.2256,1.4444,1.1791
-1700,-1700,299.200,1.2348,1.2186,1.4378,1.1737
-1650,-1650,298.875,1.2278,1.2117,1.4311,1.1683
-1600,-1600,298.550,1.2208,1.2048,1.4245,1.1629
-1550,-1550,298.225,1.2138,1.1979,1.4179,1.1575
-1500,-1500,297.900,1.2069,1.1911,1.4114,1.1521
-1450,-1450,297.575,1.2000,1.1843,1.4048,1.1468
-1400,-1400,297.250,1.1931,1.1775,1.3983,1.1415
-1350,-1350,296.925,1.1862,1.1707,1.3918,1.1362
-1300,-1300,296.600,1.1794,1.1640,1.3853,1.1309
-1250,-1250,296.275,1.1727,1.1573,1.3789,1.1256
-1200,-1200,295.950,1.1659,1.1507,1.3725,1.1204
-1150,-1150,295.625,1.1592,1.1440,1.3661,1.1152
-1100,-1100,295.300,1.1525,1.1374,1.3597,1.1099
-1050,-1050,294.975,1.1459,1.1309,1.3533,1.1048
-1000,-1000,294.651,1139.30,1.1244,1.3470,1.0996
-950,-950,294.326,1132.70,1.1179,1.3407,1.0945
-900,-900,294.001,1126.10,1.1114,1.3344,1.0893
-850,-850,293.676,1119.60,1.1049,1.3281,1.0842
-800,-800,293.351,1113.10,1.0985,1.3219,1.0791
-750,-750,293.026,1106.60,1.0921,1.3157,1.0740
-700,-700,292.701,1100.20,1.0858,1.3095,1.0690
-650,-650,292.375,1093.80,1.0795,1.3033,1.0639
-600,-600,292.050,1087.40,1.0732,1.2971,1.0589
